key	text	tooltip
#Loc;1;text/db/cooking_ingredient_groups__.loc		
cooking_ingredient_groups_display_name_wh2_dlc15_animals	Beast Bitz	false
cooking_ingredient_groups_display_name_wh2_dlc15_birds	Flyin' Gubbinz	false
cooking_ingredient_groups_display_name_wh2_dlc15_fishes	Fishy Chunks	false
cooking_ingredient_groups_display_name_wh2_dlc15_mushrooms	Sporez 'n' Shroomz	false
cooking_ingredient_groups_display_name_wh2_dlc15_slimes	Mucky Stuff	false
cooking_ingredient_groups_display_name_wh3_dlc24_ingredient_group_bones	Bones	false
cooking_ingredient_groups_display_name_wh3_dlc24_ingredient_group_horns	Horns	false
cooking_ingredient_groups_display_name_wh3_dlc24_ingredient_group_skulls	Skulls	false
cooking_ingredient_groups_display_name_wh3_dlc24_ingredient_group_stone	Stone	false
cooking_ingredient_groups_display_name_wh3_dlc24_ingredient_group_teeth	Teeth	false
cooking_ingredient_groups_display_name_wh3_dlc24_ingredient_group_wood	Wood	false
cooking_ingredient_groups_flavour_text_wh2_dlc15_animals	[[col:yellow]]A charcuterie of land creature meat[[/col]]	false
cooking_ingredient_groups_flavour_text_wh2_dlc15_birds	[[col:yellow]]A collection of airborne creature parts[[/col]]	false
cooking_ingredient_groups_flavour_text_wh2_dlc15_fishes	[[col:yellow]]An assortment of seafood[[/col]]	false
cooking_ingredient_groups_flavour_text_wh2_dlc15_mushrooms	[[col:yellow]]A batch of fungal delights[[/col]]	false
cooking_ingredient_groups_flavour_text_wh2_dlc15_slimes	[[col:yellow]]A selection of liquid additives[[/col]]	false
cooking_ingredient_groups_flavour_text_wh3_dlc24_ingredient_group_bones	 	false
cooking_ingredient_groups_flavour_text_wh3_dlc24_ingredient_group_horns	 	false
cooking_ingredient_groups_flavour_text_wh3_dlc24_ingredient_group_skulls	 	false
cooking_ingredient_groups_flavour_text_wh3_dlc24_ingredient_group_stone	 	false
cooking_ingredient_groups_flavour_text_wh3_dlc24_ingredient_group_teeth	 	false
cooking_ingredient_groups_flavour_text_wh3_dlc24_ingredient_group_wood	 	false
