key	text	tooltip
#Loc;1;text/db/cooking_recipes__.loc		
cooking_recipes_display_text_wh2_dlc15_food_dish_1	Misty Mountain Broth	false
cooking_recipes_display_text_wh2_dlc15_food_dish_10	Cheesy 'Shrooms	false
cooking_recipes_display_text_wh2_dlc15_food_dish_2	Bony Meat Skewers	false
cooking_recipes_display_text_wh2_dlc15_food_dish_3	Wyvern Stew	false
cooking_recipes_display_text_wh2_dlc15_food_dish_4	Nuggets 'n' Slime	false
cooking_recipes_display_text_wh2_dlc15_food_dish_5	Grom's Surf 'n' Turf	false
cooking_recipes_display_text_wh2_dlc15_food_dish_6	Shroom 'n' Offal Sausage	false
cooking_recipes_display_text_wh2_dlc15_food_dish_7	The Magnum Pizza	false
cooking_recipes_display_text_wh2_dlc15_food_dish_8	Fishy 'Shroom Burgers	false
cooking_recipes_display_text_wh2_dlc15_food_dish_9	Gobbo Seafood Quiche	false
cooking_recipes_display_text_wh2_dlc15_food_special_dish_1	Ghost Crab Royale	false
cooking_recipes_display_text_wh2_dlc15_food_special_dish_2	Elven Foie Gras	false
cooking_recipes_display_text_wh2_dlc15_food_special_dish_3	Mork's Blood Pudding	false
cooking_recipes_display_text_wh2_dlc15_food_special_dish_4	Fried Squirrel Fish	false
cooking_recipes_display_text_wh2_dlc15_food_special_dish_5	Bugman's Battered Ribs	false
cooking_recipes_display_text_wh3_dlc24_recipe_agonys_succession	Agony's Succession	false
cooking_recipes_display_text_wh3_dlc24_recipe_bears_bulwark	Bear's Bulwark	false
cooking_recipes_display_text_wh3_dlc24_recipe_craven_scent	Craven Scent	false
cooking_recipes_display_text_wh3_dlc24_recipe_deadeyes_sting	Deadeye's Sting	false
cooking_recipes_display_text_wh3_dlc24_recipe_ember_dread	Ember Dread	false
cooking_recipes_display_text_wh3_dlc24_recipe_entropous	Entropous	false
cooking_recipes_display_text_wh3_dlc24_recipe_fragmentii	Fragmentii	false
cooking_recipes_display_text_wh3_dlc24_recipe_frostwyverns_toil	Frostwyvern's Toil	false
cooking_recipes_display_text_wh3_dlc24_recipe_gait_of_thorns	Gait of Thorns	false
cooking_recipes_display_text_wh3_dlc24_recipe_hags_denial	Hag's Denial	false
cooking_recipes_display_text_wh3_dlc24_recipe_harrowing_coil	Harrowing Coil	false
cooking_recipes_display_text_wh3_dlc24_recipe_hushed_cast	Hushed Cast	false
cooking_recipes_display_text_wh3_dlc24_recipe_incarnates_wrath	Incarnate's Wrath	false
cooking_recipes_display_text_wh3_dlc24_recipe_inversus	Inversus	false
cooking_recipes_display_text_wh3_dlc24_recipe_leshys_embrace	Leshy's Embrace	false
cooking_recipes_display_text_wh3_dlc24_recipe_rats_grit	Rat's Grit	false
cooking_recipes_display_text_wh3_dlc24_recipe_spectres_miasma	Spectre's Miasma	false
cooking_recipes_display_text_wh3_dlc24_recipe_spirited_away	Spirited Away	false
cooking_recipes_display_text_wh3_dlc24_recipe_typhlosis	Typhlosis	false
cooking_recipes_display_text_wh3_dlc24_recipe_unburdened_step	Unburdened Step	false
cooking_recipes_display_text_wh3_dlc24_recipe_whiff_of_madness	Whiff of Madness	false
cooking_recipes_display_text_wh3_dlc24_recipe_wraith_sight	Wraith-Sight	false
cooking_recipes_flavour_text_wh2_dlc15_food_dish_1	This broth looks like an unappetizing mess. Is that a wing, a foot, a drumstick? Or maybe even something’s head? The less you know, the better!	false
cooking_recipes_flavour_text_wh2_dlc15_food_dish_10	Putrid slime? Poisonous-looking mushrooms? What's not to like? Except the resulting flatulence, of course.	false
cooking_recipes_flavour_text_wh2_dlc15_food_dish_2	The bones and claws of flyin' gubbinz make good skewers for fishy chunks, as fishbones do for flyin' gubbinz. Hard to tell what’s what, though…	false
cooking_recipes_flavour_text_wh2_dlc15_food_dish_3	With a few ‘shrooms and nondescript flyin’ gubbinz, anyone can make something that vaguely resembles a stew. Whether it tastes like what it's claimed to be is another thing.	false
cooking_recipes_flavour_text_wh2_dlc15_food_dish_4	Mince up some exotic meats, be it bat, Dragon, or whatever, and serve it up with the most disgusting sauce imaginable – just how Grom likes it.	false
cooking_recipes_flavour_text_wh2_dlc15_food_dish_5	Wholly unidentifiable pieces of meat and fish slapped on a plate make for an easily prepared flavour-filled meal! It's like a beach party in your mouth, but everyone's throwing up.	false
cooking_recipes_flavour_text_wh2_dlc15_food_dish_6	Nothing says ‘dinner’ to Grom like animal guts, giblets, and meaty fodder stuffed into some intestines, with some random 'shrooms tossed in for good measure.	false
cooking_recipes_flavour_text_wh2_dlc15_food_dish_7	Grom's own spin on that timeless Tilean recipe is not for the faint-hearted. A vegetarian might die just by looking at it.	false
cooking_recipes_flavour_text_wh2_dlc15_food_dish_8	In Marienburg, they like to put pieces of meat between Halfling bread, but Grom much prefers his fishy mushroom version. And the rottener the fish, the better!	false
cooking_recipes_flavour_text_wh2_dlc15_food_dish_9	Every gobbo loves a good quiche, though they've lost the knowledge of what a quiche actually is. Not that they care, as long as it smells worse than a Troll Hag’s tunic.	false
