key	text	tooltip
#Loc;1;text/db/culture_settlement_occupation_options__.loc		
culture_settlement_occupation_options_tooltip_1017060144	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	false
culture_settlement_occupation_options_tooltip_1018	Colonise||Settle your troops.	false
culture_settlement_occupation_options_tooltip_1023	Do Nothing||Leave the settlement as it stands.	false
culture_settlement_occupation_options_tooltip_1024	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	false
culture_settlement_occupation_options_tooltip_1027	Occupy||{{tr:occupation_decision_occupy}}	false
culture_settlement_occupation_options_tooltip_1032	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	false
culture_settlement_occupation_options_tooltip_1034	Resettle||With no regions currently under your control, you have the option to settle your army here.	false
culture_settlement_occupation_options_tooltip_1036	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	false
culture_settlement_occupation_options_tooltip_1036292950	Occupy||{{tr:occupation_decision_occupy}}	false
culture_settlement_occupation_options_tooltip_1043	Colonise||Settle your troops.	false
culture_settlement_occupation_options_tooltip_1046879507	Resettle||With no regions currently under your control, you have the option to settle your army here.	false
culture_settlement_occupation_options_tooltip_1048711434	Do Nothing||Leave the settlement as it stands.	false
culture_settlement_occupation_options_tooltip_1051	Do Nothing||Leave the settlement as it stands.	false
culture_settlement_occupation_options_tooltip_1053367624	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	false
culture_settlement_occupation_options_tooltip_1058	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	false
culture_settlement_occupation_options_tooltip_1063	Occupy||{{tr:occupation_decision_occupy}}	false
culture_settlement_occupation_options_tooltip_106519377	Do Nothing||Leave the settlement as it stands.	false
culture_settlement_occupation_options_tooltip_1067077346	Colonise||Settle your troops.	false
culture_settlement_occupation_options_tooltip_1067868589	Enforce Confederation||You occupy the settlement and force their leader to join your cause. All their armies will be destroyed and their faction leader temporarily wounded, any captives enslaved, and any vassals transferred to you.	false
culture_settlement_occupation_options_tooltip_1070	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	false
culture_settlement_occupation_options_tooltip_1071	Resettle||With no regions currently under your control, you have the option to settle your army here.	false
culture_settlement_occupation_options_tooltip_1076287141	Colonise and Vassalise||Occupy the settlement and vassalise its associated Norscan tribe.	false
culture_settlement_occupation_options_tooltip_1078	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	false
culture_settlement_occupation_options_tooltip_1083	Colonise||Settle your troops.	false
