key	text	tooltip
#Loc;1;text/db/diplomacy_quick_deal_offers__.loc		
diplomacy_quick_deal_offers_localised_quick_deal_title_diplomatic_option_client_state	Make Tributary	false
diplomacy_quick_deal_offers_localised_quick_deal_title_diplomatic_option_confederation	[[img:icon_confederation]][[/img]] Join Confederation	false
diplomacy_quick_deal_offers_localised_quick_deal_title_diplomatic_option_defensive_alliance	[[img:icon_defensive_alliance]][[/img]] Defensive Alliance	false
diplomacy_quick_deal_offers_localised_quick_deal_title_diplomatic_option_military_alliance	[[img:icon_military_alliance]][[/img]] Military Alliance	false
diplomacy_quick_deal_offers_localised_quick_deal_title_diplomatic_option_nonaggression_pact	[[img:icon_non-aggression_pact]][[/img]] Non-Aggression Pact	false
diplomacy_quick_deal_offers_localised_quick_deal_title_diplomatic_option_peace	Peace Treaty	false
diplomacy_quick_deal_offers_localised_quick_deal_title_diplomatic_option_soft_access	[[img:icon_military_access]][[/img]] Military Access	false
diplomacy_quick_deal_offers_localised_quick_deal_title_diplomatic_option_trade_agreement	[[img:icon_trade_agreement]][[/img]] Trade Agreement	false
diplomacy_quick_deal_offers_localised_quick_deal_title_diplomatic_option_vassal	[[img:icon_vassal]][[/img]] Become Vassal	false
