key	text	tooltip
#Loc;1;text/db/effects_additional_tooltip_details__.loc		
effects_additional_tooltip_details_localised_description_building_upkeep	This amount will be deducted from your {{tr:treasury}} each turn while this building exists.	false
effects_additional_tooltip_details_localised_description_wh2_dlc09_effect_book_vampire_units	Access to the following units:\\n[[img:bullet_point_white]]Hexwraiths\\n[[img:bullet_point_white]]Cairn Wraiths\\n[[img:bullet_point_white]]Spirit Host\\n[[img:bullet_point_white]]Crypt Ghouls\\n[[img:bullet_point_white]]Crypt Horrors\\n[[img:bullet_point_white]]Dire Wolves\\n[[img:bullet_point_white]]Fell Bats\\n[[img:bullet_point_white]]Morghast Archai\\n[[img:bullet_point_white]]Morghast Harbingers	false
effects_additional_tooltip_details_localised_description_wh2_dlc09_effect_force_own_campaign_movement_range_province	{{tr:campaign_movement_range_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc09_effect_replenishment_tmb_structures	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc09_effect_replenishment_tmb_tomb_guard	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc09_effect_replenishment_tomb_guard_chariots	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc11_effect_agent_action_hinder_settlement_establish_pirate_cove_buff	[[col:yellow]]{{tr:agent_action_name_establish_pirate_cove}}[[/col]] (Target: Settlement)\\nEstablishes a Pirate Cove in the target settlement.	false
effects_additional_tooltip_details_localised_description_wh2_dlc11_effect_force_all_enemy_campaign_replenishment_rate	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc11_effect_force_flagellants_campaign_replenishment_rate	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc11_effect_force_slayer_campaign_replenishment_rate	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc11_effect_unit_all_zombie_infantry_campaign_replenishment_rate	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc12_effect_agent_action_enable_kroak_hinder_settlement_lord_kroak_colossal_deliverance	[[col:yellow]]{{tr:agent_action_name_colossal_deliverance}}[[/col]] (Target: Settlement)\\nDamages the walls of the target settlement.	false
effects_additional_tooltip_details_localised_description_wh2_dlc12_effect_agent_action_enable_kroak_hinder_settlement_lord_kroak_colossal_deliverance_cooldown_dummy	[[col:yellow]]{{tr:agent_action_name_colossal_deliverance}}[[/col]] (Target: Settlement)\\nDamages the walls of the target settlement.	false
effects_additional_tooltip_details_localised_description_wh2_dlc12_effect_agent_action_enable_kroak_hinder_settlement_lord_kroak_ultimate_deliverance	[[col:yellow]]{{tr:agent_action_name_ultimate_deliverance}}[[/col]] (Target: Settlement)\\nDamages the walls, buildings, and lowers the settlement level of the target settlement.	false
effects_additional_tooltip_details_localised_description_wh2_dlc12_effect_force_redcrested_skink_ark_of_sotek_campaign_replenishment_rate	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc12_effect_force_terradon_ripperdactyl_campaign_replenishment_rate	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc15_effect_character_stat_scorching_attacks	Flammable attacks reduce the enemy's fire resistance.	false
effects_additional_tooltip_details_localised_description_wh2_dlc15_effect_replenishment_rate_goblins	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc15_enable_inflammable_attacks	{{tr:effects_additional_tooltip_details_localised_description_wh2_dlc15_effect_character_stat_scorching_attacks}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc16_effect_ability_enable_spot_units_hiding_in_forest	Forest Spotting\\nEnemy units are unable to hide from this unit while in a forest.	false
effects_additional_tooltip_details_localised_description_wh2_dlc16_effect_agent_action_enable_wizard_hinder_settlement_ariel	[[col:yellow]]{{tr:agent_action_name_natures_wrath}}[[/col]] (Target: Settlement)\\nDamages the walls, buildings, and lowers the settlement level of the target settlement.	false
effects_additional_tooltip_details_localised_description_wh2_dlc16_effect_replenishment_dryads	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc16_effect_replenishment_orcs	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc16_effect_replenishment_tree_spirits	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc16_skv_effect_force_replenishment_rate_moulder	{{tr:replenishment_additional_tooltip}}	false
effects_additional_tooltip_details_localised_description_wh2_dlc17_effect_agent_action_enable_runesmith_assist_army_harden_armour	[[col:yellow]]Harden Armour[[/col]] (Assist Army)\\nIncreases the armour of units in the parent army.	false
effects_additional_tooltip_details_localised_description_wh2_dlc17_effect_agent_action_enable_runesmith_assist_army_sharpen_weapons	[[col:yellow]]Sharpen Weapons[[/col]] (Assist Army)\\nIncreases the missile and melee damage of the parent army.	false
effects_additional_tooltip_details_localised_description_wh2_dlc17_effect_projectile_poison_daemonbane	"Daemonbane" projectiles become magical and anti-large, and will home in on targets	false
effects_additional_tooltip_details_localised_description_wh2_dlc17_effect_projectile_poison_fireblood	"Fireblood Toxin" projectiles explode on impact and reduce enemy armour	false
effects_additional_tooltip_details_localised_description_wh2_dlc17_effect_projectile_poison_slow_death	"Slow Death" projectiles will deal additional damage over time and extra damage to low-health units, and are particularly effective against single entities	false
effects_additional_tooltip_details_localised_description_wh2_dlc17_effect_projectile_poison_toadskin	"Toadskin Essence" projectiles will deal additional damage to infantry and reduce their morale	false
