key	text	tooltip
#Loc;1;text/db/ministerial_positition_to_subtype_restrictions__.loc		
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_consort_to_the_queenwh2_dlc16_wef_drycha	[[col:red]]Only Orion or a Glade Lord can serve as the Queen's Champion![[/col]]\\n	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_consort_to_the_queenwh2_dlc16_wef_malicious_ancient_treeman_beasts	[[col:red]]Only Orion or a Glade Lord can serve as the Queen's Champion![[/col]]\\n	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_consort_to_the_queenwh2_dlc16_wef_malicious_ancient_treeman_life	[[col:red]]Only Orion or a Glade Lord can serve as the Queen's Champion![[/col]]\\n	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_consort_to_the_queenwh2_dlc16_wef_malicious_ancient_treeman_shadows	[[col:red]]Only Orion or a Glade Lord can serve as the Queen's Champion![[/col]]\\n	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_consort_to_the_queenwh2_dlc16_wef_sisters_of_twilight	[[col:red]]Only Orion or a Glade Lord can serve as the Queen's Champion![[/col]]\\n	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_consort_to_the_queenwh2_dlc16_wef_spellweaver_beasts	[[col:red]]Only Orion or a Glade Lord can serve as the Queen's Champion![[/col]]\\n	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_consort_to_the_queenwh2_dlc16_wef_spellweaver_dark	[[col:red]]Only Orion or a Glade Lord can serve as the Queen's Champion![[/col]]\\n	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_consort_to_the_queenwh2_dlc16_wef_spellweaver_high	[[col:red]]Only Orion or a Glade Lord can serve as the Queen's Champion![[/col]]\\n	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_consort_to_the_queenwh2_dlc16_wef_spellweaver_life	[[col:red]]Only Orion or a Glade Lord can serve as the Queen's Champion![[/col]]\\n	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_consort_to_the_queenwh2_dlc16_wef_spellweaver_shadows	[[col:red]]Only Orion or a Glade Lord can serve as the Queen's Champion![[/col]]\\n	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_consort_to_the_queenwh_dlc05_wef_ancient_treeman	[[col:red]]Only Orion or a Glade Lord can serve as the Queen's Champion![[/col]]\\n	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_consort_to_the_queenwh_dlc05_wef_durthu	[[col:red]]Only Orion or a Glade Lord can serve as the Queen's Champion![[/col]]\\n	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_darkweaverwh2_dlc16_wef_drycha	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_darkweaverwh2_dlc16_wef_malicious_ancient_treeman_beasts	[[col:red]]Only one skilled in the Lore of Dark Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_darkweaverwh2_dlc16_wef_malicious_ancient_treeman_life	[[col:red]]Only one skilled in the Lore of Dark Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_darkweaverwh2_dlc16_wef_malicious_ancient_treeman_shadows	[[col:red]]Only one skilled in the Lore of Dark Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_darkweaverwh2_dlc16_wef_sisters_of_twilight	[[col:red]]Only one skilled in the Lore of Dark Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_darkweaverwh2_dlc16_wef_spellweaver_beasts	[[col:red]]Only one skilled in the Lore of Dark Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_darkweaverwh2_dlc16_wef_spellweaver_high	[[col:red]]Only one skilled in the Lore of Dark Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_darkweaverwh2_dlc16_wef_spellweaver_life	[[col:red]]Only one skilled in the Lore of Dark Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_darkweaverwh_dlc05_wef_ancient_treeman	[[col:red]]Only one skilled in the Lore of Dark Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_darkweaverwh_dlc05_wef_durthu	[[col:red]]Only one skilled in the Lore of Dark Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_darkweaverwh_dlc05_wef_glade_lord	[[col:red]]Only one skilled in the Lore of Dark Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_darkweaverwh_dlc05_wef_glade_lord_fem	[[col:red]]Only one skilled in the Lore of Dark Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_darkweaverwh_dlc05_wef_orion	[[col:red]]Only one skilled in the Lore of Dark Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_highweaverwh2_dlc16_wef_drycha	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_highweaverwh2_dlc16_wef_malicious_ancient_treeman_beasts	[[col:red]]Only one skilled in the Lore of High Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_highweaverwh2_dlc16_wef_malicious_ancient_treeman_life	[[col:red]]Only one skilled in the Lore of High Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_highweaverwh2_dlc16_wef_malicious_ancient_treeman_shadows	[[col:red]]Only one skilled in the Lore of High Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_highweaverwh2_dlc16_wef_sisters_of_twilight	[[col:red]]Only one skilled in the Lore of High Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_highweaverwh2_dlc16_wef_spellweaver_beasts	[[col:red]]Only one skilled in the Lore of High Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_highweaverwh2_dlc16_wef_spellweaver_dark	[[col:red]]Only one skilled in the Lore of High Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_highweaverwh2_dlc16_wef_spellweaver_life	[[col:red]]Only one skilled in the Lore of High Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_highweaverwh_dlc05_wef_ancient_treeman	[[col:red]]Only one skilled in the Lore of High Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_highweaverwh_dlc05_wef_durthu	[[col:red]]Only one skilled in the Lore of High Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_highweaverwh_dlc05_wef_glade_lord	[[col:red]]Only one skilled in the Lore of High Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_highweaverwh_dlc05_wef_glade_lord_fem	[[col:red]]Only one skilled in the Lore of High Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_highweaverwh_dlc05_wef_orion	[[col:red]]Only one skilled in the Lore of High Magic can fill this role!![[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_ishawh2_dlc16_wef_drycha	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_ishawh2_dlc16_wef_malicious_ancient_treeman_beasts	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_ishawh2_dlc16_wef_malicious_ancient_treeman_life	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_ishawh2_dlc16_wef_malicious_ancient_treeman_shadows	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_kurnouswh2_dlc16_wef_drycha	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_kurnouswh2_dlc16_wef_malicious_ancient_treeman_beasts	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_kurnouswh2_dlc16_wef_malicious_ancient_treeman_life	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_kurnouswh2_dlc16_wef_malicious_ancient_treeman_shadows	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_loecwh2_dlc16_wef_drycha	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_loecwh2_dlc16_wef_malicious_ancient_treeman_beasts	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_loecwh2_dlc16_wef_malicious_ancient_treeman_life	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh2_dlc16_minister_wef_sisters_loecwh2_dlc16_wef_malicious_ancient_treeman_shadows	[[col:red]]Such a hateful being as this will never serve on any Elven council.[[/col]]\\n 	false
ministerial_positition_to_subtype_restrictions_localised_restriction_reason_wh_dlc05_minister_wef_elf_elder_speakerwh2_dlc16_wef_drycha	[[col:red]]Drycha despises the Elves! She will never serve on any Elven council.[[/col]]\\n 	false
