key	text	tooltip
#Loc;1;text/db/mission_text__.loc		
mission_text_text_alith_anar_assassination_abort	Assassination Target Aborted!	false
mission_text_text_alith_anar_assassination_fail	Assassination Target Failed!	false
mission_text_text_alith_anar_assassination_issued	Assassination Target Issued!	false
mission_text_text_alith_anar_assassination_success	Assassination Target Killed!	false
mission_text_text_arbaal_map_easy_abort	Challenge Aborted!	false
mission_text_text_arbaal_map_easy_fail	Challenge Failed!	false
mission_text_text_arbaal_map_easy_issued	Challenge Issued!	false
mission_text_text_arbaal_map_easy_success	Challenge Completed!	false
mission_text_text_arbaal_map_hard_abort	{{tr:mission_text_text_arbaal_map_easy_abort}}	false
mission_text_text_arbaal_map_hard_fail	{{tr:mission_text_text_arbaal_map_easy_fail}}	false
mission_text_text_arbaal_map_hard_issued	{{tr:mission_text_text_arbaal_map_easy_issued}}	false
mission_text_text_arbaal_map_hard_success	{{tr:mission_text_text_arbaal_map_easy_success}}	false
mission_text_text_arbaal_map_medium_abort	{{tr:mission_text_text_arbaal_map_easy_abort}}	false
mission_text_text_arbaal_map_medium_fail	{{tr:mission_text_text_arbaal_map_easy_fail}}	false
mission_text_text_arbaal_map_medium_issued	{{tr:mission_text_text_arbaal_map_easy_issued}}	false
mission_text_text_arbaal_map_medium_success	{{tr:mission_text_text_arbaal_map_easy_success}}	false
mission_text_text_arbaal_wrath_of_khorne_long_victory	Complete 15 Challenges of Khorne missions.\\nCurrent total: %n / %n	false
mission_text_text_arbaal_wrath_of_khorne_short_victory	Complete 8 Challenges of Khorne missions.\\nCurrent total: %n / %n	false
mission_text_text_books_of_nagash_abort	Book of Nagash Aborted!	false
mission_text_text_books_of_nagash_fail	Book of Nagash Failed!	false
mission_text_text_books_of_nagash_issued	Book of Nagash Issued!	false
mission_text_text_books_of_nagash_success	Book of Nagash Collected!	false
mission_text_text_dlc09_early_game_hero_technology_mission_objective	Research a Dynasty technology that permits recruitment of a [[img:icon_hero]][[/img]]Hero.	false
mission_text_text_dlc09_early_game_tomb_kings_recruitment_building_mission_objective	Construct a building that permits recruitment of more units.	false
mission_text_text_dwarf_grudge_actions_completed_success	Make 10 purchases from the Book of Grudges.\\nCurrent total: %n / %n	false
mission_text_text_elspeth_gunnery_school_progression_completed	Complete Gunnery School Tier 3.	false
mission_text_text_elspeth_gunnery_school_progression_rank_achieved	Complete Gunnery School Tier 2.	false
mission_text_text_endgame_ultimate_crisis_objective_no_wars	At the start or end of your turn, have no factions at war with you.	false
mission_text_text_gelt_college_of_magic_long_victory	Complete 24 unique College of Magic Repeatable Actions or Unlocks.\\nCurrent total: %n / %n	false
mission_text_text_gelt_college_of_magic_short_victory	Complete 12 unique College of Magic Repeatable Actions or Unlocks.\\nCurrent total: %n / %n	false
mission_text_text_generic_current_2_totals	Current total: %n / %n	false
mission_text_text_generic_current_income	Current income: {{tr:icon_income}}%n	false
mission_text_text_generic_current_total	Current total: %n	false
mission_text_text_generic_current_total_coop	Current combined total: %n	false
mission_text_text_generic_current_total_heroes_out_of	[[img:icon_hero]][[/img]]%n / %n	false
mission_text_text_generic_current_total_money_out_of	{{tr:icon_money}}%n / %n	false
mission_text_text_generic_current_total_out_of	Current total: %n / %n	false
mission_text_text_generic_current_total_out_of_coop	Current combined total: %n / %n	false
mission_text_text_generic_current_total_regions_out_of	Regions %n / %n	false
mission_text_text_golgfag_contracts_long_victory	Complete 25 Mercenary Contracts.\\nCurrent total: %n / %n	false
mission_text_text_golgfag_contracts_short_victory	Complete 15 Mercenary Contracts.\\nCurrent total: %n / %n	false
mission_text_text_gorbad_da_plan_long_victory	Activate 10 unique Da Plan tactics.\\nCurrent total: %n / %n	false
