key	text	tooltip
#Loc;1;text/db/multiplayer_campaign_settings__.loc		
multiplayer_campaign_settings_localised_name_autoresolve_all_battles	Auto-resolve all battles	false
multiplayer_campaign_settings_localised_name_battle_difficulty	Battle difficulty	false
multiplayer_campaign_settings_localised_name_battle_time_limit	Battle time limit	false
multiplayer_campaign_settings_localised_name_campaign_difficulty	Campaign difficulty	false
multiplayer_campaign_settings_localised_name_character_loading	Character loading	false
multiplayer_campaign_settings_localised_name_default_battle_resolution	Default battle resolution	false
multiplayer_campaign_settings_localised_name_enable_end_game	Enable endgame scenarios	false
multiplayer_campaign_settings_localised_name_enable_sea_lanes	Enable Sea Lanes	false
multiplayer_campaign_settings_localised_name_realm_of_chaos	Realm of Chaos victory conditions	false
multiplayer_campaign_settings_localised_name_simultaneous_turns	Simultaneous turns	false
multiplayer_campaign_settings_localised_name_turn_time	Turn time	false
multiplayer_campaign_settings_localised_name_unit_size	Unit size	false
multiplayer_campaign_settings_localised_tooltip_autoresolve_all_battles		false
multiplayer_campaign_settings_localised_tooltip_battle_difficulty		false
multiplayer_campaign_settings_localised_tooltip_battle_time_limit		false
multiplayer_campaign_settings_localised_tooltip_campaign_difficulty		false
multiplayer_campaign_settings_localised_tooltip_character_loading	Allow players to load saved campaign characters.	false
multiplayer_campaign_settings_localised_tooltip_default_battle_resolution	In the event of a tie vote, this will determine how a battle is resolved.	false
multiplayer_campaign_settings_localised_tooltip_enable_end_game	{{tr:enable_end_game_tooltip}}	false
multiplayer_campaign_settings_localised_tooltip_enable_sea_lanes	{{tr:enable_sea_lanes_tooltip}}	false
multiplayer_campaign_settings_localised_tooltip_realm_of_chaos	Play using the Realm of Chaos victory conditions and narrative. Only factions that use these victory conditions will be playable.	false
multiplayer_campaign_settings_localised_tooltip_simultaneous_turns	All players' turns will be played out at the same time.	false
multiplayer_campaign_settings_localised_tooltip_turn_time	Turns will automatically end when this time runs out.	false
multiplayer_campaign_settings_localised_tooltip_unit_size		false
