key	text	tooltip
#Loc;1;text/db/names__.loc		
names_name_1001259072	Ulrika	false
names_name_1002144821	Soulblaze	false
names_name_1002451869	Neith	false
names_name_100271990	Brom	false
names_name_1002972665	Videmar	false
names_name_1003038241	zu Krugenheim	false
names_name_1003161686	Jakov	false
names_name_100325871	Maldigg	false
names_name_1003570063	Na'karis	false
names_name_1003842572	Eva	false
names_name_1003919657	Sinkswell	false
names_name_1003924842	Bloodcaller	false
names_name_1004201231	Mammoth-Rider	false
names_name_1004245920	Ouyang	false
names_name_1004304689	Kelp Claw	false
names_name_1005248167	Plyitus	false
names_name_1006363117	Vanessa	false
names_name_1006711097	Darkpath	false
names_name_1007456194	Ghiesssh	false
names_name_1007834858	the Rat-Eater	false
names_name_1008738826	d'Yderot	false
names_name_1009133847	Manblight	false
names_name_1010186263	the Avian	false
names_name_1010189776	Ulrikov	false
names_name_1010314968	Rhagurr	false
names_name_1011953006	Eighth Lord of Gore	false
names_name_1012073581	Kharon	false
names_name_1012272878	Hagrene	false
names_name_1012584779	Kalaw	false
names_name_101288719	Hargrimaz	false
names_name_1013532462	Wirim	false
names_name_1013566103	Grom the Paunch	false
names_name_1013908319	Gracef	false
names_name_1015096215	Kang	false
names_name_101567873	Blackstone	false
names_name_1015687373	Lana	false
names_name_1015951371	Shadowdart	false
names_name_1016136326	Seventh-Blisterer	false
names_name_1016154979	Amarudz	false
names_name_1016162757	the Land-Ripper	false
names_name_1016390767	Ra'tul	false
names_name_1017721779	Richard	false
names_name_1017827388	Annhiltuz	false
names_name_1018074220	Gobbo-Chompa	false
names_name_1018614790	Conquatoc	false
names_name_1019189048	Azrik the Maze Keeper	false
names_name_1019252092	Fraguzz	false
names_name_1019373070	Panibal	false
names_name_1020356174	Ivana	false
names_name_1020411399	Khorsen	false
names_name_1020465424	Petuhyt	false
names_name_1021071163	Blackstone	false
names_name_1021442703	L'Anguille	false
names_name_1021590666	Scaberax	false
names_name_1022176898	Praijol	false
names_name_1023468856	Az'tek	false
names_name_1023980541	Altharloss	false
names_name_1024033994	Grinder of Nuln	false
names_name_1024060622	Raptul	false
names_name_1024280256	Usenko	false
names_name_102431556	Ursunov	false
names_name_1024438729	Stira	false
names_name_1024994805	Forkusss	false
names_name_1026187450	Warpflame	false
names_name_102693422	Kvetlai	false
names_name_1027251705	Thorhall	false
names_name_1029175424	Orgu'bronzemaw	false
names_name_1030065585	Iren'anar	false
names_name_1030628873	Sortsvinaer	false
names_name_1030760937	Charlie	false
names_name_1030867864	Hortal	false
names_name_1030881489	Dipti	false
names_name_1031025019	Zorya	false
names_name_1031264987	Kawatamun	false
names_name_1031342680	the Petitaz	false
names_name_1032718743	Rhug'guari'ihlulan	false
names_name_1032891931	of Naggrund	false
names_name_1032919940	Verena	false
names_name_1033456951	Frinlay	false
names_name_103361353	Techutitus	false
names_name_1033918902	Seventy-Seventh	false
names_name_1036120912	Hi'kil'foth	false
names_name_1036161214	Argarr	false
names_name_1036917904	Devora	false
names_name_1037444717	Heartflayer	false
names_name_1037444888	Modirob	false
names_name_1037772035	Khargan the Crazed	false
names_name_1037815058	Yong	false
names_name_1038399110	Q'quthornal	false
names_name_1038467584	Gitzagit	false
names_name_103970856	Poisonblade	false
names_name_1040488644	Vumor	false
names_name_1040644774	Angeline	false
names_name_1041603963	Leonid	false
names_name_1041639151	Cyziaz'vorx	false
names_name_1041722221	Toadbog	false
names_name_1041741800	Skellan	false
names_name_1041831958	Zhengde	false
names_name_1042385778	Igyor	false
names_name_1042552047	Rambatan	false
names_name_1043050343	Bak-Bak	false
names_name_1043335079	Millen	false
names_name_1044088297	Flaggog	false
names_name_1044214998	Sheeld	false
names_name_1044606327	Sicrsos	false
names_name_1044696589	Slaa'neth'Khaos	false
names_name_1044876956	Varach	false
names_name_1044995477	Venola	false
names_name_1045238283	Elke	false
names_name_1045577042	Chillmane	false
names_name_1046370305	Mountaineater	false
names_name_1046493299	Wolf	false
names_name_104668218	Ghothir	false
names_name_104777644	the Mephitic	false
names_name_1047924203	Zlatotta	false
names_name_1047966045	Teng	false
names_name_1048413402	Butler	false
names_name_1048634847	Quakeooze	false
names_name_1049080150	Konstantin	false
names_name_1049452014	Tusktaker	false
names_name_1050464679	Ma	false
names_name_1050537203	Esteban	false
names_name_1050658588	Zestimuls	false
names_name_105284769	Snazz	false
names_name_1053168049	Harkon	false
names_name_1053468021	Svetlana	false
names_name_1053838354	Wilhelmina	false
names_name_1053873280	Brainbasha	false
names_name_105567548	Cherilyn	false
names_name_1057000402	Nathalie	false
names_name_1058399806	Ghos	false
names_name_1058692048	Myleere	false
names_name_1058716119	Yelena	false
names_name_1059449146	Kazadni	false
names_name_1059779049	Rok-Jor	false
names_name_1059931174	Succipilziz	false
names_name_1060018528	Jhared	false
names_name_1060172250	Tarr	false
names_name_1060318561	Ala'scar	false
names_name_1061388652	Gad	false
names_name_1061636038	Kavinna	false
names_name_1061845961	Boris Ursus	false
names_name_1062390673	Karok	false
names_name_1063475665	Fonahir	false
names_name_1064315877	the Copulator	false
names_name_1064541212	von Falkenstein	false
names_name_1065329730	Boqgoq	false
names_name_1065359831	Warvara	false
names_name_1065625672	He	false
names_name_106604727	Imrik	false
names_name_1066656255	Waerna	false
names_name_1069020046	Nathan	false
names_name_1069828170	the Garrulous	false
names_name_1070488151	Sigwulf	false
names_name_1071008595	Mouldspleen	false
names_name_1071742272	Shyak	false
names_name_1071816319	Kudrov	false
names_name_1072452389	Boggrub	false
names_name_1073720026	Hulaylian	false
names_name_1074121848	The Scarlet	false
names_name_1075450667	Lowe	false
names_name_1075512296	Titan-Leveller	false
names_name_1075598637	Setilus	false
names_name_1075820337	Carmen	false
names_name_10764423	Omhaf	false
names_name_1076925295	Xzixplox	false
names_name_1076963931	Huntmaster Chron	false
names_name_1077055091	of Uzkulak	false
names_name_1077318545	Gruffmeister	false
names_name_1077378743	Reid	false
names_name_1077483803	Radhur	false
names_name_1077653517	the Unbreakable	false
names_name_1077661008	Deansson	false
names_name_1077906017	Kloxxizzazz	false
names_name_1077961672	the Drowner	false
names_name_1078273109	Hatip	false
names_name_1078739176	Half-Mast	false
names_name_107879667	Romane	false
names_name_1079274254	Chi'karik	false
names_name_1079420526	Vikramtull	false
names_name_1080118565	Snagrsson	false
names_name_1080379385	Che	false
names_name_1081185254	Dastan Coldeye	false
names_name_1081459835	Imat'korex	false
names_name_108168157	Koshka	false
names_name_1081703090	Tan'wendri	false
names_name_1082261409	the Gouger	false
names_name_108312091	Grukkox	false
names_name_1083845851	Crimson-Son	false
names_name_1085453193	Ligoq	false
names_name_1086188503	Coates	false
names_name_1086322689	Gorburdz	false
names_name_1087181860	Felicion	false
names_name_1087452538	Torlana	false
names_name_1087565330	He	false
names_name_1087572694	Kevin	false
names_name_1087810001	Arty	false
