key	text	tooltip
#Loc;1;text/db/regions__.loc		
regions_battle_name_wh3_dlc20_chaos_region_black_pit	The Black Pit	false
regions_battle_name_wh3_dlc20_chaos_region_chantillon	Chantillon	false
regions_battle_name_wh3_dlc20_chaos_region_citadel_of_lead	Citadel of Lead	false
regions_battle_name_wh3_dlc20_chaos_region_fort_sollace	Fort Solace	false
regions_battle_name_wh3_dlc20_chaos_region_grung_zint	Grung Zint	false
regions_battle_name_wh3_dlc20_chaos_region_losteriksons_landing	Losterikson's Landing	false
regions_battle_name_wh3_dlc20_chaos_region_neuland	Neuland	false
regions_battle_name_wh3_dlc20_chaos_region_river_reik	River Reik	false
regions_battle_name_wh3_dlc20_chaos_region_tancred_castle	Tancred Castle	false
regions_battle_name_wh3_dlc20_chaos_region_wreckers_point	Wrecker's Point	false
regions_battle_name_wh3_dlc20_chaos_region_zanbaijin	Zanbaijin	false
regions_battle_name_wh3_dlc20_combi_region_dragons_death	Dragon's Death	false
regions_battle_name_wh3_dlc20_combi_region_glacial_gardens	The Glacial Gardens	false
regions_battle_name_wh3_dlc20_combi_region_glacier_encampment	Glacier Encampment	false
regions_battle_name_wh3_dlc20_combi_region_krudenwald	Krudenwald	false
regions_battle_name_wh3_main_chaos_region_altar_of_spawns	Altar of Spawns	false
regions_battle_name_wh3_main_chaos_region_altar_of_the_crimson_harvest	Altar of the Crimson Harvest	false
regions_battle_name_wh3_main_chaos_region_altdorf	Altdorf	false
regions_battle_name_wh3_main_chaos_region_amblepeak	Amblepeak	false
regions_battle_name_wh3_main_chaos_region_bay_of_blades	Bay of Blades	false
regions_battle_name_wh3_main_chaos_region_bechafen	Bechafen	false
regions_battle_name_wh3_main_chaos_region_black_fang	Black Fang	false
regions_battle_name_wh3_main_chaos_region_black_fortress	Black Fortress	false
regions_battle_name_wh3_main_chaos_region_black_gulch	Black Gulch	false
regions_battle_name_wh3_main_chaos_region_black_rock	Black Rock	false
regions_battle_name_wh3_main_chaos_region_blackstone_tower	Blackstone Tower	false
regions_battle_name_wh3_main_chaos_region_blizzardpeak	Blizzardpeak	false
regions_battle_name_wh3_main_chaos_region_blood_haven	Blood-Haven	false
regions_battle_name_wh3_main_chaos_region_blood_mountain	Blood Mountain	false
regions_battle_name_wh3_main_chaos_region_bloodpeak	Bloodpeak	false
regions_battle_name_wh3_main_chaos_region_bloodwind_keep	Bloodwind Keep	false
regions_battle_name_wh3_main_chaos_region_bohsenfels	Bohsenfels	false
regions_battle_name_wh3_main_chaos_region_bolgasgrad	Bolgasgrad	false
regions_battle_name_wh3_main_chaos_region_brass_keep	Brass Keep	false
regions_battle_name_wh3_main_chaos_region_bridge_of_brass	Bridge of Brass	false
regions_battle_name_wh3_main_chaos_region_bridge_of_heaven	Bridge of Heaven	false
regions_battle_name_wh3_main_chaos_region_broekwater	Broekwater	false
regions_battle_name_wh3_main_chaos_region_castle_alexandronov	Castle Alexandronov	false
regions_battle_name_wh3_main_chaos_region_castle_drachenfels	Castle Drachenfels	false
regions_battle_name_wh3_main_chaos_region_castle_drakenhof	Castle Drakenhof	false
regions_battle_name_wh3_main_chaos_region_chasm_of_torment	Chasm of Torment	false
regions_battle_name_wh3_main_chaos_region_chimera_plateau	Chimera Plateau	false
