key	text	tooltip
#Loc;1;text/db/ui_faction_set_to_localised_names__.loc		
ui_faction_set_to_localised_names_name_all_except_daemon_prince_faction	Non-Daemon Prince	false
ui_faction_set_to_localised_names_name_all_except_nurgle_culture	Non-Nurgle	false
ui_faction_set_to_localised_names_name_all_nurgle_culture	Nurgle	false
ui_faction_set_to_localised_names_name_daemon_prince_faction	Daemon Prince	false
ui_faction_set_to_localised_names_name_plague_effect_set_beastmen_negative	Non-Chaos	false
ui_faction_set_to_localised_names_name_plague_effect_set_beastmen_positive	Chaos	false
ui_faction_set_to_localised_names_name_plague_effect_set_daemon_prince_negative	Non-Nurgle or Daemon Prince	false
ui_faction_set_to_localised_names_name_plague_effect_set_daemon_prince_positive	Nurgle & Daemon Prince	false
ui_faction_set_to_localised_names_name_plague_effect_set_nurgle_negative	Non-Nurgle	false
ui_faction_set_to_localised_names_name_plague_effect_set_nurgle_positive	Nurgle	false
ui_faction_set_to_localised_names_name_plague_effect_set_skaven_negative	Non-Pestilens or Non-Nurgle	false
ui_faction_set_to_localised_names_name_plague_effect_set_skaven_positive	Pestilens & Nurgle	false
