key	text	tooltip
#Loc;1;text/db/units_custom_battle_mounts__.loc		
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_arkhan_0wh2_dlc09_tmb_cha_arkhan_1	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_arkhan_0wh2_dlc09_tmb_cha_arkhan_2	Arkhan’s winged chariot moves with supernatural speed as he scours the world in search of the enchanted items that will hasten the Great Necromancer’s return.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_khalida_0wh2_dlc09_tmb_cha_khalida_1	Monstrous mounts that shatter bones with every swipe of their tails and sink scimitar-sized fangs deep into soft flesh.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_khalida_0wh2_dlc09_tmb_cha_khalida_2	The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_khatep_0wh2_dlc09_tmb_cha_khatep_1	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_khatep_0wh2_dlc09_tmb_cha_khatep_2	The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_khatep_0wh2_dlc09_tmb_cha_khatep_3	When the souls are released they endeavour not to return without new victims to torment for eternity.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_liche_priest_death_0wh2_dlc09_tmb_cha_liche_priest_death_1	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_liche_priest_light_0wh2_dlc09_tmb_cha_liche_priest_light_1	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_liche_priest_nehekhara_0wh2_dlc09_tmb_cha_liche_priest_nehekhara_1	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_liche_priest_shadow_0wh2_dlc09_tmb_cha_liche_priest_shadow_1	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_necrotect_0wh2_dlc09_tmb_cha_necrotect_1	The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_settra_0wh2_dlc09_tmb_cha_settra_1	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_settra_0wh2_dlc09_tmb_cha_settra_2	Settra's magical chariot bears the King of all Tomb Kings to battle, scything through enemy ranks without pity or mercy.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_settra_0wh2_dlc09_tmb_cha_settra_3	Giant leonine statues, almost impervious to harm; they wade through foes, crushing them like bothersome insects.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_tomb_king_0wh2_dlc09_tmb_cha_tomb_king_1	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_tomb_king_0wh2_dlc09_tmb_cha_tomb_king_2	The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_tomb_king_0wh2_dlc09_tmb_cha_tomb_king_3	Giant leonine statues, almost impervious to harm; they wade through foes, crushing them like bothersome insects.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_tomb_prince_0wh2_dlc09_tmb_cha_tomb_prince_1	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	false
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_tomb_prince_0wh2_dlc09_tmb_cha_tomb_prince_2	The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_crone_0wh2_dlc10_def_cha_crone_1	True horses no longer, Dark Magic corrupts the finest Elven steeds and turns them into black-flanked killers.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_crone_0wh2_dlc10_def_cha_crone_4	A gift from Khaine, containing the secret of eternal youth and beauty. His brides may bathe in it to renew their vitality.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_crone_0wh2_dlc10_def_cha_crone_5	A leonine beast of blinding rage and the perfect mount for a Dark Lord, if it can be dominated.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_sorceress_beasts_0wh2_dlc10_def_cha_sorceress_beasts_1	True horses no longer, Dark Magic corrupts the finest Elven steeds and turns them into black-flanked killers.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_sorceress_beasts_0wh2_dlc10_def_cha_sorceress_beasts_2	Dark, feral beasts indigenous to Naggaroth, tempted from their damp, warm caves to bear the Druchii to battle.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_sorceress_beasts_0wh2_dlc10_def_cha_sorceress_beasts_3	The corrupted Dark Pegasi fly south from the Chaos Wastes to Naggaroth's Iron Mountains to make their nests.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_sorceress_death_0wh2_dlc10_def_cha_sorceress_death_1	True horses no longer, Dark Magic corrupts the finest Elven steeds and turns them into black-flanked killers.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_sorceress_death_0wh2_dlc10_def_cha_sorceress_death_2	Dark, feral beasts indigenous to Naggaroth, tempted from their damp, warm caves to bear the Druchii to battle.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_sorceress_death_0wh2_dlc10_def_cha_sorceress_death_3	The corrupted Dark Pegasi fly south from the Chaos Wastes to Naggaroth's Iron Mountains to make their nests.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_beasts_0wh2_dlc10_def_cha_supreme_sorceress_beasts_1	True horses no longer, Dark Magic corrupts the finest Elven steeds and turns them into black-flanked killers.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_beasts_0wh2_dlc10_def_cha_supreme_sorceress_beasts_2	Dark, feral beasts indigenous to Naggaroth, tempted from their damp, warm caves to bear the Druchii to battle.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_beasts_0wh2_dlc10_def_cha_supreme_sorceress_beasts_3	The corrupted Dark Pegasi fly south from the Chaos Wastes to Naggaroth's Iron Mountains to make their nests.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_beasts_0wh2_dlc10_def_cha_supreme_sorceress_beasts_4	A leonine beast of blinding rage and the perfect mount for a Dark Lord, if it can be dominated.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_beasts_0wh2_dlc10_def_cha_supreme_sorceress_beasts_5	Secretly nurtured by Malekith, Black Dragons are enchanted with Dark Magic that corrupts and enhances.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_dark_0wh2_dlc10_def_cha_supreme_sorceress_dark_1	True horses no longer, Dark Magic corrupts the finest Elven steeds and turns them into black-flanked killers.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_dark_0wh2_dlc10_def_cha_supreme_sorceress_dark_2	Dark, feral beasts indigenous to Naggaroth, tempted from their damp, warm caves to bear the Druchii to battle.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_dark_0wh2_dlc10_def_cha_supreme_sorceress_dark_3	The corrupted Dark Pegasi fly south from the Chaos Wastes to Naggaroth's Iron Mountains to make their nests.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_dark_0wh2_dlc10_def_cha_supreme_sorceress_dark_4	A leonine beast of blinding rage and the perfect mount for a Dark Lord, if it can be dominated.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_dark_0wh2_dlc10_def_cha_supreme_sorceress_dark_5	Secretly nurtured by Malekith, Black Dragons are enchanted with Dark Magic that corrupts and enhances.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_death_0wh2_dlc10_def_cha_supreme_sorceress_death_1	True horses no longer, Dark Magic corrupts the finest Elven steeds and turns them into black-flanked killers.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_death_0wh2_dlc10_def_cha_supreme_sorceress_death_2	Dark, feral beasts indigenous to Naggaroth, tempted from their damp, warm caves to bear the Druchii to battle.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_death_0wh2_dlc10_def_cha_supreme_sorceress_death_3	The corrupted Dark Pegasi fly south from the Chaos Wastes to Naggaroth's Iron Mountains to make their nests.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_death_0wh2_dlc10_def_cha_supreme_sorceress_death_4	A leonine beast of blinding rage and the perfect mount for a Dark Lord, if it can be dominated.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_death_0wh2_dlc10_def_cha_supreme_sorceress_death_5	Secretly nurtured by Malekith, Black Dragons are enchanted with Dark Magic that corrupts and enhances.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_fire_0wh2_dlc10_def_cha_supreme_sorceress_fire_1	True horses no longer, Dark Magic corrupts the finest Elven steeds and turns them into black-flanked killers.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_fire_0wh2_dlc10_def_cha_supreme_sorceress_fire_2	Dark, feral beasts indigenous to Naggaroth, tempted from their damp, warm caves to bear the Druchii to battle.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_fire_0wh2_dlc10_def_cha_supreme_sorceress_fire_3	The corrupted Dark Pegasi fly south from the Chaos Wastes to Naggaroth's Iron Mountains to make their nests.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_fire_0wh2_dlc10_def_cha_supreme_sorceress_fire_4	A leonine beast of blinding rage and the perfect mount for a Dark Lord, if it can be dominated.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_fire_0wh2_dlc10_def_cha_supreme_sorceress_fire_5	Secretly nurtured by Malekith, Black Dragons are enchanted with Dark Magic that corrupts and enhances.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_shadow_0wh2_dlc10_def_cha_supreme_sorceress_shadow_1	True horses no longer, Dark Magic corrupts the finest Elven steeds and turns them into black-flanked killers.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_shadow_0wh2_dlc10_def_cha_supreme_sorceress_shadow_2	Dark, feral beasts indigenous to Naggaroth, tempted from their damp, warm caves to bear the Druchii to battle.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_shadow_0wh2_dlc10_def_cha_supreme_sorceress_shadow_3	The corrupted Dark Pegasi fly south from the Chaos Wastes to Naggaroth's Iron Mountains to make their nests.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_shadow_0wh2_dlc10_def_cha_supreme_sorceress_shadow_4	A leonine beast of blinding rage and the perfect mount for a Dark Lord, if it can be dominated.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_def_cha_supreme_sorceress_shadow_0wh2_dlc10_def_cha_supreme_sorceress_shadow_5	Secretly nurtured by Malekith, Black Dragons are enchanted with Dark Magic that corrupts and enhances.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_hef_cha_alarielle_the_radiant_0wh2_dlc10_hef_cha_alarielle_the_radiant_2	An extremely light yet resilient material, Ithilmar gives the same protection as heavy steel, but without slowing down its wearer.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_hef_cha_alarielle_the_radiant_0wh2_dlc10_hef_cha_alarielle_the_radiant_3	Fly on your wings, like an eagle. Touch the sun. Track the foe, ambush, and defeat. 	false
units_custom_battle_mounts_localised_description_wh2_dlc10_hef_cha_handmaiden_0wh2_dlc10_hef_cha_handmaiden_2	An extremely light yet resilient material, Ithilmar gives the same protection as heavy steel, but without slowing down its wearer.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_hef_cha_mage_heavens_0wh2_dlc10_hef_cha_mage_heavens_1	An extremely light yet resilient material, Ithilmar gives the same protection as heavy steel, but without slowing down its wearer.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_hef_cha_mage_heavens_0wh2_dlc10_hef_cha_mage_heavens_2	Excellent Elven chariots, barded with priceless Ithilmar for extra protection on the battlefield but at no cost in speed or agility.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_hef_cha_mage_shadows_0wh2_dlc10_hef_cha_mage_shadows_1	An extremely light yet resilient material, Ithilmar gives the same protection as heavy steel, but without slowing down its wearer.	false
units_custom_battle_mounts_localised_description_wh2_dlc10_hef_cha_mage_shadows_0wh2_dlc10_hef_cha_mage_shadows_2	Excellent Elven chariots, barded with priceless Ithilmar for extra protection on the battlefield but at no cost in speed or agility.	false
units_custom_battle_mounts_localised_description_wh2_dlc11_cst_cha_aranessa_0wh2_dlc11_cst_cha_aranessa_1	A giant Undead crab, whose pincers can tear ships apart, makes an impressive and fitting mount for the earthly offspring of Manann himself.	false
