key	text	tooltip
#Loc;1;text/db/vo_fmv_texts__.loc		
vo_fmv_texts_text_adv_int	This world has been sundered by a tide of arcane energy.|The Winds of Magic churned into a maelstrom.|The Tome of Fates drew me north to find out why.|It guided me to a distant fortress steeped in blood.|A battle was fought there. Though long over, the spirits still lingered.|In the shadow of a broken portal the trail ended.|It was here the Tome conversed with the dead.|They told of Ursun, the Bear-God of Kislev, lost in darkness.|A noble prince ventured to save him.|Yet he strayed from the path and was corrupted by Chaos.|Saviour became… executioner!|A single shot, bound in faith forsaken, pierced Ursun’s heart.|And so the Bear-God roared.|The tide that broke the world.|Spirits, where lies Ursun now? Is he here in the north?|[[col:subtitle_spirits]]Beyond the maelstrom. In the Realm of Chaos. In the Forge of Souls.[[/col]]|Is he alive?|[[col:subtitle_spirits]]Wounded and dying. Imprisoned in shadow.[[/col]]|What shadow? A Daemon’s?|[[col:subtitle_spirits]]A Master of the Dark![[/col]]|I knew who shackled the Bear…|Be’lakor.|Only a fool would challenge Be’lakor.|And yet… the power of a dying god, there is no greater prize.|A mere drop of Ursun’s blood would break my curse, ending my servitude to this accursed book.|Free to profit from its secrets.|But Ursun is locked in the Forge of Souls, deep in the Realm of Chaos.|And I cannot enter this nightmarish domain.|All routes have been sealed by the maelstrom.|There must be a way.|The tome unveils a spell to summon a portal.|One to bypass the maelstrom, and create a door into Chaos.|Knowledge to bargain, for I need an ally.|One who is tempted by the power of the God-Bear.|And can withstand the horrors within.	false
vo_fmv_texts_text_belakor_1	The first soul harvested. When all four have been gathered, they will combine into a single light revealing a shadow path to the Forge of Souls.|Then Ursun will be within our reach.|But what's this? The tome consumes the souls energy, reaching across time, revealing secrets...|[[col:subtitle_ursun]]It was the Old Ones that shaped this world into a paradise.[[/col]]|[[col:subtitle_ursun]]Yet the power they harnessed to move sun and rock, could not be tamed.[[/col]]|[[col:subtitle_ursun]]Raw magic erupted from the Great Cataclysm, flowing forth from a Realm of Chaos. So came the Daemons.[[/col]]|[[col:subtitle_ursun]]They hunted the mortals, feeding on their souls.[[/col]]|[[col:subtitle_ursun]]Yet one of their prey betrayed his kin and embraced the Gods of Chaos.[[/col]]|[[col:subtitle_ursun]]They gifted him Daemonhood, and he became the first Daemon Prince.[[/col]]|[[col:subtitle_ursun]]Be’lakor.[[/col]]|[[col:subtitle_ursun]]He clawed at the world, scarred it with his armies. Revelling in the bloodshed.[[/col]]|[[col:subtitle_ursun]]Those who seek power will always want more. And Be’lakor's lust was greatest of all.[[/col]]|[[col:subtitle_belakor]]Gods of Chaos, have I not fed you souls?[[/col]]|[[col:subtitle_belakor]]Have I not given you the world? Give me more power.[[/col]]|[[col:subtitle_belakor]]ANSWER ME![[/col]]|[[col:subtitle_ursun]]The four Gods punished the Daemon Prince for his arrogance.[[/col]]|[[col:subtitle_ursun]]They took everything. His armies, his power, his form.[[/col]]|[[col:subtitle_ursun]]Cursed to roam the world as a shadow amongst the shadows, powerless for eternity…[[/col]]|[[col:subtitle_belakor]]Damn the Gods…[[/col]]|Be’lakor has spent millennia planning his revenge on the Chaos Gods.|What twisted scheme has his dark mind constructed?	false
vo_fmv_texts_text_belakor_1_onscreen	THE DISTANT PAST...|...THE PRESENT	false
vo_fmv_texts_text_belakor_2	Ursun is not dead. The Bear still clings to life.|Of course, god-blood to break a curse.|[[col:subtitle_belakor]]Too long I was imprisoned in shadow.[[/col]]|[[col:subtitle_belakor]]Finally, my flesh returns.[[/col]]|[[col:subtitle_ursun]]Flesh to tear, little Daemon.[[/col]]|[[col:subtitle_ursun]]When I am free, you will know the wrath of a god.[[/col]]|[[col:subtitle_belakor]]The bonds of the Forge are strong, and you grow weak. Our journey is not complete.[[/col]]|The Lord of Shadows is a shadow no more.|With his curse broken, he can pursue his burning desire. To enact revenge and dominate the world.	false
vo_fmv_texts_text_belakor_2_onscreen	THE FORGE OF SOULS	false
vo_fmv_texts_text_belakor_3	So, Be'lakor has rebuilt his throne of old, but to what purpose?|He has no followers, no army; even the Chaos Gods abandoned him.|[[col:subtitle_belakor]]Does something amuse you?[[/col]]|[[col:subtitle_ursun]]You sit in your little chair, but what power do you really wield? Hidden away, deep in this Forge.[[/col]]|[[col:subtitle_belakor]]Hidden? Your roar was felt across the world. A god’s carrion will attract powerful scavengers.[[/col]]|[[col:subtitle_belakor]]Let them come. The essence of the slain will be repurposed into an army.[[/col]]|It cannot be. Be'lakor controls the Forge of Souls.|He intends to build an army of the most twisted manifestations, Soul Grinders.|[[col:subtitle_ursun]]Your Chaos masters will not allow it.[[/col]]|[[col:subtitle_belakor]]I HAVE NO MASTERS![[/col]]|[[col:subtitle_belakor]]The Chaos Gods are forbidden to enter here. Be silent, while we wait.[[/col]]|[[col:subtitle_ursun]]Wait for what?[[/col]]|[[col:subtitle_belakor]]For you to die.[[/col]]	false
vo_fmv_texts_text_belakor_4	[[col:subtitle_belakor]]How does it feel to face death like a mortal?[[/col]]|[[col:subtitle_ursun]]Come closer and I will show you.[[/col]]|[[col:subtitle_belakor]]Know this as you fade, all of your struggles, sacrifices, your victories and labours were for nothing.[[/col]]|[[col:subtitle_belakor]]I won’t be so careless with your power.[[/col]]|[[col:subtitle_ursun]]Spare… Kislev.[[/col]]|[[col:subtitle_belakor]]Spare them? I am going to destroy them.[[/col]]|[[col:subtitle_belakor]]They will waste their last breath cursing your name.[[/col]]|[[col:subtitle_belakor]]Finally…[[/col]]|[[col:subtitle_belakor]]Gods of Chaos! The God-Bear is dead![[/col]]|[[col:subtitle_belakor]]Gather Ursun’s power. Bind it to me. My Godhood will be forged, here, on this throne.[[/col]]|[[col:subtitle_belakor]]One by one, I will kill the Gods and harvest their strength.[[/col]]|[[col:subtitle_belakor]]All will be mine![[/col]]|[[col:subtitle_belakor]]All, will be mine.[[/col]]|A new deity will soon ascend, Be'lakor, the Chaos God of Shadows. But his transformation will take time.|He can still be stopped, he must be stopped, then Ursun’s power is yours.	false
vo_fmv_texts_text_belakor_4_alt	[[col:subtitle_belakor]]How does it feel to face death like a mortal?[[/col]]|[[col:subtitle_ursun]]Come closer and I will show you.[[/col]]|[[col:subtitle_belakor]]Know this as you fade, all of your struggles, sacrifices, your victories and labours were for nothing.[[/col]]|[[col:subtitle_belakor]]I won’t be so careless with your power.[[/col]]|[[col:subtitle_ursun]]Spare… Kislev.[[/col]]|[[col:subtitle_belakor]]Spare them? I am going to destroy them.[[/col]]|[[col:subtitle_belakor]]They will waste their last breath cursing your name.[[/col]]|[[col:subtitle_belakor]]Finally…[[/col]]|[[col:subtitle_belakor]]Gods of Chaos! The God-Bear is dead![[/col]]|[[col:subtitle_belakor]]Gather Ursun’s power. Bind it to me. My Godhood will be forged, here, on this throne.[[/col]]|[[col:subtitle_belakor]]One by one, I will kill the Gods and harvest their strength.[[/col]]|[[col:subtitle_belakor]]All will be mine![[/col]]|[[col:subtitle_belakor]]All, will be mine.[[/col]]|A new deity will soon ascend, Be'lakor, the Chaos God of Shadows. But his transformation will take time.|There is still hope, whilst Ursun's power is not consumed.	false
vo_fmv_texts_text_belakor_4_ogr	[[col:subtitle_belakor]]How does it feel to face death like a mortal?[[/col]]|[[col:subtitle_ursun]]Come closer and I will show you.[[/col]]|[[col:subtitle_belakor]]Know this as you fade, all of your struggles, sacrifices, your victories and labours were for nothing.[[/col]]|[[col:subtitle_belakor]]I won’t be so careless with your power.[[/col]]|[[col:subtitle_ursun]]Spare… Kislev.[[/col]]|[[col:subtitle_belakor]]Spare them? I am going to destroy them.[[/col]]|[[col:subtitle_belakor]]They will waste their last breath cursing your name.[[/col]]|[[col:subtitle_belakor]]Finally…[[/col]]|[[col:subtitle_belakor]]Gods of Chaos! The God-Bear is dead![[/col]]|[[col:subtitle_belakor]]Gather Ursun’s power. Bind it to me. My Godhood will be forged, here, on this throne.[[/col]]|[[col:subtitle_belakor]]One by one, I will kill the Gods and harvest their strength.[[/col]]|[[col:subtitle_belakor]]All will be mine![[/col]]|[[col:subtitle_belakor]]All, will be mine.[[/col]]|A new deity will soon ascend, Be'lakor, the Chaos God of Shadows. But his transformation will take time.|He can still be stopped. He must be stopped. The Great Maw will not go hungry whilst the god-meat is fresh.	false
